xgb_p_healthy,xgb_p_bleached
0.04364663,0.9563534
0.035233814,0.9647662
0.036504224,0.96349585
0.06567012,0.93432987
0.008857795,0.9911423
0.013217975,0.9867821
0.044752374,0.95524764
0.032258466,0.96774155
0.040494055,0.959506
0.05434345,0.94565654
0.01346148,0.9865385
0.0116077745,0.98839223
0.018776191,0.9812238
0.01886804,0.9811319
0.03223563,0.9677643
0.019849204,0.9801508
0.016836528,0.9831635
0.14400117,0.8559989
0.15516166,0.84483826
0.09725772,0.9027423
0.08673897,0.91326106
0.072296016,0.927704
0.015423377,0.9845766
0.03480099,0.965199
0.4183754,0.58162457
0.045658622,0.95434135
0.02138042,0.9786196
0.117983885,0.88201606
0.05929465,0.9407053
0.14399342,0.85600656
0.028130071,0.97186995
0.17295788,0.8270421
0.03464181,0.9653582
0.16359614,0.83640385
0.15332037,0.8466796
0.15672511,0.84327483
0.16282128,0.8371787
0.1913682,0.80863184
0.266482,0.733518
0.86288774,0.13711222
0.9425663,0.05743372
0.94033605,0.059663996
0.8519299,0.14807014
0.80605495,0.1939451
0.7801665,0.21983351
0.550891,0.44910896
0.7503269,0.24967313
0.8490317,0.15096831
0.8058168,0.1941832
0.74518085,0.25481912
0.8186004,0.18139961
0.8668785,0.13312148
0.7818114,0.21818858
0.91439235,0.08560763
0.6115683,0.38843173
0.90057033,0.09942964
0.58657557,0.41342443
0.7473396,0.2526604
0.84834117,0.15165877
0.89521235,0.104787685
0.8536363,0.14636369
0.8378896,0.1621104
0.79978025,0.20021972
0.86529905,0.13470097
0.8682352,0.13176483
0.74418736,0.25581264
0.62353045,0.37646955
0.88773394,0.1122661
0.831791,0.16820896
0.91885936,0.08114066
0.7221534,0.2778466
0.83691204,0.16308792
0.7752576,0.22474243
0.63866943,0.3613306
0.866586,0.13341403
0.8106233,0.18937665
0.8789359,0.12106408
0.8713818,0.12861818
0.89023757,0.1097624
0.6672595,0.33274046
0.9319876,0.0680124
0.8802688,0.1197312
0.944021,0.055979
0.944021,0.055979
0.8400273,0.15997274
0.8972047,0.102795325
0.7519319,0.2480681
0.75411624,0.2458838
0.9212254,0.0787746
0.9008528,0.0991472
0.92316884,0.07683113
0.90084064,0.09915939
0.82775235,0.17224765
0.9023674,0.09763251
0.91506714,0.0849329
0.8971146,0.10288543
0.9048439,0.095156096
0.76829785,0.23170209
0.8375862,0.16241375
0.89454794,0.10545203
0.77790827,0.22209176
0.7027638,0.29723623
0.6854141,0.31458592
0.70832944,0.29167056
0.88771224,0.11228773
0.85002875,0.1499713
0.520244,0.479756
0.8147382,0.18526179
0.86636406,0.13363591
0.870972,0.12902804
0.7658992,0.2341008
0.7328719,0.2671281
0.8249195,0.17508051
0.5969847,0.4030153
0.70980173,0.29019827
0.7964382,0.20356178
0.8813096,0.118690416
0.8417636,0.15823641
0.8482507,0.15174928
0.5909035,0.4090965
0.79302764,0.20697239
0.51568824,0.48431176
0.8711653,0.12883474
0.74847996,0.25152
0.53378665,0.46621338
0.73826134,0.26173866
0.50465006,0.49534988
0.56546134,0.43453866
0.5576116,0.44238842
0.59433186,0.40566808
0.83945674,0.1605433
0.86142975,0.13857022
0.81240636,0.18759364
0.8559832,0.1440168
0.8839946,0.11600546
0.45713136,0.5428687
0.60141605,0.3985839
0.97269315,0.027306795
0.97269315,0.027306795
0.97269315,0.027306795
0.97269315,0.027306795
0.97269315,0.027306795
0.96701515,0.032984827
0.8653415,0.13465852
0.9168254,0.08317457
0.9497529,0.050247096
0.6538157,0.34618428
0.8455937,0.15440632
0.90238667,0.09761336
0.90618676,0.0938132
0.93217486,0.06782509
0.8073425,0.19265747
0.9468837,0.053116348
0.95422065,0.04577937
0.9442036,0.055796415
0.9575686,0.04243142
0.8962626,0.1037374
0.8385925,0.16140752
0.7652598,0.2347402
0.92003435,0.079965726
0.92003435,0.079965726
0.9472825,0.052717507
0.726684,0.27331606
0.93316394,0.06683613
0.87538755,0.124612466
0.78652966,0.21347031
0.92534924,0.07465078
0.91397977,0.08602017
0.662198,0.337802
0.8879214,0.11207858
0.50684273,0.4931573
0.8915754,0.1084246
0.9264779,0.07352207
0.89849675,0.10150333
0.86254126,0.13745871
0.90796244,0.0920375
0.8939021,0.10609786
0.919159,0.08084097
0.7744057,0.22559427
0.79451257,0.20548743
0.8574246,0.14257537
0.9288028,0.07119723
0.69880956,0.3011904
0.5787409,0.4212591
0.81325173,0.1867482
0.86404014,0.13595983
0.9143788,0.08562118
0.7017963,0.29820374
0.9080979,0.09190214
0.7668225,0.23317753
0.45876294,0.5412371
0.8976926,0.10230736
0.83704615,0.16295384
0.8767324,0.12326762
0.9658916,0.034108452
0.91644365,0.08355643
0.8081932,0.19180681
0.9713769,0.028623074
0.9796846,0.020315474
0.94124573,0.058754265
0.8929692,0.10703083
0.9492519,0.050748087
0.92560285,0.074397184
0.6930005,0.30699953
0.72815704,0.27184293
0.67053837,0.32946157
0.5730834,0.42691657
0.8039718,0.19602816
0.90914845,0.09085156
0.8302537,0.1697463
0.71291715,0.28708285
0.7660521,0.23394786
0.7660521,0.23394786
0.70221376,0.29778618
0.6704643,0.3295357
0.67012405,0.32987595
0.8709981,0.12900189
0.87840575,0.12159421
0.8556208,0.14437917
0.74078834,0.25921166
0.89138806,0.10861197
0.762622,0.237378
0.9030411,0.0969589
0.8474142,0.15258577
0.9181835,0.08181648
0.8358383,0.16416171
0.83156234,0.16843764
0.9515867,0.048413344
0.84952056,0.1504794
0.8751739,0.124826
0.8936566,0.10634343
0.9053443,0.09465565
0.8589405,0.14105946
0.9423043,0.05769564
0.94101495,0.058985095
0.9250863,0.07491362
0.7777836,0.22221646
0.91330117,0.086698875
0.80616325,0.19383678
0.7921406,0.20785943
0.6879428,0.3120572
0.61669856,0.38330144
0.8607641,0.13923594
0.9360845,0.0639155
0.9360845,0.0639155
0.9360845,0.0639155
0.82238305,0.17761698
0.8905037,0.10949634
0.92377126,0.07622875
0.86668205,0.13331792
0.90737045,0.09262952
0.85122865,0.14877138
0.8650949,0.13490514
0.8565305,0.14346953
0.76699406,0.23300591
0.5023649,0.49763513
0.5791967,0.42080325
0.9450051,0.05499495
0.86411965,0.13588043
0.86411965,0.13588043
0.86411965,0.13588043
0.9642816,0.035718422
0.680242,0.31975803
0.9642816,0.035718422
0.680242,0.31975803
0.680242,0.31975803
0.8564943,0.14350568
0.61976105,0.380239
0.6152549,0.38474515
0.93240666,0.06759338
0.92208093,0.07791904
0.80990833,0.19009161
0.80990833,0.19009161
0.34759593,0.65240407
0.956231,0.043769
0.956231,0.043769
0.6718438,0.32815614
0.6718438,0.32815614
0.6718438,0.32815614
0.75416607,0.24583395
0.9547532,0.045246758
0.9547532,0.045246758
0.6354304,0.3645696
0.2834032,0.7165968
0.7536011,0.2463989
0.7536011,0.2463989
0.7536011,0.2463989
0.7536011,0.2463989
0.5905962,0.4094038
0.96404904,0.035950977
0.96404904,0.035950977
0.96404904,0.035950977
0.9459757,0.054024264
0.86411965,0.13588043
0.86411965,0.13588043
0.9642816,0.035718422
0.9642816,0.035718422
0.9642816,0.035718422
0.9642816,0.035718422
0.9642816,0.035718422
0.9078371,0.09216287
0.9078371,0.09216287
0.7578459,0.24215415
0.7578459,0.24215415
0.938744,0.061255973
0.938744,0.061255973
0.938744,0.061255973
0.938744,0.061255973
0.7930025,0.2069975
0.7930025,0.2069975
0.4313258,0.5686742
0.6460391,0.3539609
0.7536011,0.2463989
0.8779822,0.12201782
0.8779822,0.12201782
0.55100197,0.44899806
0.9393749,0.06062504
0.7520615,0.24793848
0.956231,0.043769
0.6718438,0.32815614
0.6718438,0.32815614
0.57800007,0.42199993
0.6354304,0.3645696
0.6354304,0.3645696
0.78725976,0.21274017
0.78725976,0.21274017
0.93240666,0.06759338
0.93240666,0.06759338
0.93240666,0.06759338
0.97425437,0.025745614
0.97425437,0.025745614
0.80990833,0.19009161
0.80376136,0.19623865
0.80376136,0.19623865
0.9365438,0.06345614
0.9365438,0.06345614
0.96772534,0.032274652
0.96772534,0.032274652
0.96772534,0.032274652
0.631291,0.36870903
0.631291,0.36870903
0.6570542,0.34294584
0.78725976,0.21274017
0.5572206,0.44277948
0.7809475,0.21905246
0.7809475,0.21905246
0.8134852,0.18651484
0.8134852,0.18651484
0.78725976,0.21274017
0.78725976,0.21274017
0.48872575,0.5112742
0.48872575,0.5112742
0.75006175,0.24993831
0.75006175,0.24993831
0.7809475,0.21905246
0.7809475,0.21905246
0.8134852,0.18651484
0.8134852,0.18651484
0.9301568,0.06984323
0.97476226,0.025237765
0.7442658,0.25573424
0.7442658,0.25573424
0.78725976,0.21274017
0.78725976,0.21274017
0.6268183,0.37318173
0.78725976,0.21274017
0.77115977,0.22884022
0.78725976,0.21274017
0.78725976,0.21274017
0.75006175,0.24993831
0.75006175,0.24993831
0.75006175,0.24993831
0.78725976,0.21274017
0.6570542,0.34294584
0.6570542,0.34294584
0.78725976,0.21274017
0.78725976,0.21274017
0.78725976,0.21274017
0.48872575,0.5112742
0.75006175,0.24993831
0.75006175,0.24993831
0.8134852,0.18651484
0.95927507,0.040724903
0.95927507,0.040724903
0.95927507,0.040724903
0.90076214,0.0992378
0.48752415,0.5124759
0.5306376,0.46936238
0.86411965,0.13588043
0.86411965,0.13588043
0.61976105,0.380239
0.9067688,0.09323122
0.918865,0.08113497
0.918865,0.08113497
0.9508044,0.049195588
0.9508044,0.049195588
0.8976911,0.10230896
0.6152549,0.38474515
0.93240666,0.06759338
0.93240666,0.06759338
0.9647789,0.0352211
0.93240666,0.06759338
0.9647789,0.0352211
0.77303255,0.22696748
0.97425437,0.025745614
0.80990833,0.19009161
0.80990833,0.19009161
0.2964258,0.70357424
0.9365438,0.06345614
0.96772534,0.032274652
0.7033879,0.29661208
0.6152549,0.38474515
0.6152549,0.38474515
0.6152549,0.38474515
0.93240666,0.06759338
0.93240666,0.06759338
0.93240666,0.06759338
0.80990833,0.19009161
0.80990833,0.19009161
0.80376136,0.19623865
0.80376136,0.19623865
0.6152549,0.38474515
0.6152549,0.38474515
0.93240666,0.06759338
0.92208093,0.07791904
0.80990833,0.19009161
0.80990833,0.19009161
0.960197,0.03980301
0.80376136,0.19623865
0.2964258,0.70357424
0.2964258,0.70357424
0.9365438,0.06345614
0.9365438,0.06345614
0.9365438,0.06345614
0.96772534,0.032274652
0.96772534,0.032274652
0.8853447,0.11465536
0.8853447,0.11465536
0.877458,0.122542046
0.877458,0.122542046
0.9847616,0.0152383875
0.8939912,0.10600884
0.9508044,0.049195588
0.9508044,0.049195588
0.6775477,0.32245234
0.6775477,0.32245234
0.9199754,0.08002465
0.9199754,0.08002465
0.9199754,0.08002465
0.21135247,0.7886475
0.95731884,0.042681184
0.96772534,0.032274652
0.97131664,0.028683327
0.97131664,0.028683327
0.9365438,0.06345614
0.96772534,0.032274652
0.96772534,0.032274652
0.9365438,0.06345614
0.9365438,0.06345614
0.9365438,0.06345614
0.96772534,0.032274652
0.97131664,0.028683327
0.7033879,0.29661208
0.7449705,0.25502947
0.877458,0.122542046
0.877458,0.122542046
0.9264622,0.073537886
0.8399166,0.1600834
0.975201,0.024798963
0.975201,0.024798963
0.975201,0.024798963
0.7449705,0.25502947
0.680242,0.31975803
0.74424326,0.25575668
0.5049374,0.4950626
0.81360257,0.18639742
0.61976105,0.380239
0.9612218,0.038778163
0.9612218,0.038778163
0.9847616,0.0152383875
0.9847616,0.0152383875
0.9847616,0.0152383875
0.938744,0.061255973
0.938744,0.061255973
0.9797814,0.020218564
0.9797814,0.020218564
0.9403115,0.05968858
0.9797814,0.020218564
0.9403115,0.05968858
0.9797814,0.020218564
0.7930025,0.2069975
0.7930025,0.2069975
0.6460391,0.3539609
0.9264622,0.073537886
0.9264622,0.073537886
0.9264622,0.073537886
0.9264622,0.073537886
0.8399166,0.1600834
0.8399166,0.1600834
0.9647789,0.0352211
0.93240666,0.06759338
0.9647789,0.0352211
0.93240666,0.06759338
0.9647789,0.0352211
0.93240666,0.06759338
